University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of Colorado - Boulder,Telecommunication & Networking,12/16/2014,2/24/2015,Admit,157,150,307,4,107,0,8.73,10
Syracuse University,Telecommunication & Networking,12/16/2014,02-07-2015,Admit,157,150,307,4,107,0,8.73,10
University of Texas at Arlington,Computer Science,01-05-2015,2/26/2015,Admit,164,146,310,3.5,112,0,7.3,10
Texas A&M University Kingsville,Computer Science,1/30/2015,2/23/2015,Admit,153,143,296,3,78,6.5,6.92,10
University of Illinois Springfield,Computer Science,01-08-2015,03-01-2015,Admit,149,143,292,2,82,0,6.98,10
Arkansas State University,Computer Science,12/15/2014,2/27/2015,Admit,150,140,290,2.5,78,6.5,6.98,10
University of Kansas,Computer Science,12/17/2014,02-03-2015,Admit,148,138,286,2.5,92,0,6.5,10
University of Central Missouri,Computer Information Systems,01-01-2015,02-06-2015,Admit,156,143,299,2.5,90,7.5,5.7,10
SUNY - New Platz,Computer Science,12-01-2014,02-10-2015,Admit,154,142,296,3,72,6,7.9,10
Illinois Institute of Technology Chicago,Computer Science,01-02-2015,2/28/2015,Admit,155,146,301,3,91,0,7.05,10
University of Houston Clear Lake,Computer Engineering,1/19/2015,2/15/2015,Admit,159,145,304,2.5,72,6,6.6,10
Wright State University,Computer Science,1/13/2015,02-11-2015,Admit,159,145,304,2.5,72,6,6.6,10
Wayne State University,Computer Science,01-08-2015,03-02-2015,Admit,153,140,293,2.5,83,0,7.1,10
California State University Fullerton,Computer Science,11-07-2014,2/26/2015,Admit,158,144,302,3.5,92,0,8.11,10
University of Southern California,Management of Technology,12-09-2014,2/19/2015,Admit,159,148,307,4,99,0,9.17,10
NONE OF THE ABOVE,Information Systems,10/30/2014,1/27/2015,Admit,154,156,310,5,105,0,7,10
Illinois Institute of Technology Chicago,Computer Science,02-06-2015,03-02-2015,Admit,162,145,307,3,91,0,8.48,10
